Unit,Affiliation,Audio-video,Battalion,Bibliography Attachment,Book,Brigade,Command,Company,Competing Units,Date,Date Dissolved,Designation - Primary,Designation Secondary,Dissolve Trigger,Division,Duration of Service,Fate,Final Affiliation,Formation Date,Formation Trigger,HEBREW,IDF INDIVIDUALS,Individuals Glossary copy,Individuals1,Individuals2,Inspired by,Level of Conflict,Location,Number of Soldiers Formed,Number of Soldiers Later,Operational Attributes,Operations,Organizational Attributes,Predecessor,Predecessor Unit,Prestige,Prestige Cultivation,Profession,Reference,Reference 1,References,Regional Command,Role,Selection,Size,Size Formed,Sub-Unit,Successor,Successor Unit,TOC,Tactics,Tags,Training,Training Attributes,URL,Unit 1,Vehicles,Wars and Operations,Weapons,"Year Disbanded ",Year Established,כותרת אנליטית
7 Armor Reconnaissance Company,"7 Armored Brigade, Armor",,,Palsar 7 1967.pdf (https://dl.airtable.com/kKbgkzHPRvOr1yAYqhvM_Palsar%207%201967.pdf),,,North,,,,,"איסוף מודיעין, איתור איומים וביצוע משימות מיוחדות- רגליות ורכובות, פתיחת תאי שטח לחטיבת השיריון","הכוונת מסק""רים וכוחות, תקיפת יעדים ועוד",,,,,,,,"פלס""ר 7",,,,,,גבוהה,,,,,,,Palsar 7 Armored Reconnaissance Company,"פלס""ר 7",,,,,,,"מטכ""לי",Armor Reconnaissance,"גיוס לשריון, פרופיל וקב""א גבוהים, גיבוש",,,,Palsar 7 Armored Reconnaissance Company,"פלס""ר 401, 188",,"טירונות חי""ר עם אגוז, אימון מתקדם, הכשרה ביחידה לוחמה בשטחים שונים, ניווט, הסוואה, איסוף מודיעין קרבי, קורס סיור ייעודי ",,14 חודשים,,,,"ג'יפים - חמישיות, האמרים","במלחמת לבנון השניה היחידה הכווינה מסק""רים ולא טנקים","חי""ר, אמצעי תצפית וסיור",1973,1956,
Masada Prison Service,Prison Service,,,,,,General,,,,,השתלטות על  התפרעויות ומהומות בבתי הכלא,"פעילות מסוערבת סיוע לימ""ס",,,מקצועי קבע,,,,האינתיפאדה השנייה,מצדה,,,,,,"נמוכה - בט""ש",,,,,,,Masada Prison Service,,,,,,,,כלל ארצי,Intervention force,"בוגרי יחידות קרביות, מבדקים מיונים",,,,Masada Prison Service,,,,,,,,,,," רובי ציד מדגם Remington 870, תמ""ק עוזי, מטולי רימונים מדגם 'רינגו' המשמשים לירי רימוני גז, שלל אמצעי ראיית לילה וצייני לייזר.",,2003,
The 89th Oz Brigade,98 Division - The Fire Formation,,,,,,General,,,,,,,,,,,Division 98,,,,,,,,,,,,,,,,"Duvdevan (Unit 217), Egoz Reconnaissance Unit, Maglan 212, Rimon 845",,,,,,,,,Commando,,Brigade,,,,,,,,,,,,,,,,2015,
Paratroopers Brigade 35,98 Division - The Fire Formation,,,,,,,,,,,,,,,,,,,,,"Meir Har Zion (https://www.notion.so/Meir-Har-Zion-a85aba5fde8b4446b0312a94756d417a?pvs=21), Arie Gilai (https://www.notion.so/Arie-Gilai-5d1ae985ed284448a7563d1e25563232?pvs=21)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1954,
Marom - Center for Airborne and Special Training,99 Division - The Maneuver Formation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2005,
"Moran ",ATM,,,,,,South,,,,,,,,,,,,,,מורן,,,,,,,,,,,,,Moran,,,,,,,,,ATGM,,,,,Moran,,,,,,,,,,,,0,1981,
Sayeret Charuv 93,"99 Division - The Maneuver Formation, Division 99, Kfir Brigade",,,,,,Center,,,,,,,,,,,,,,"סיירת חרוב ",,,,,,,,,,,,,Sayeret Haruv 484,,,,,,,,,,,Battalion,,,,,,,,,,,,,,,,2017,
Yamam Counter-terrorism,"Border Police, Police",,,,,,General,,,,,השתלטות שחרור בני ערובה,"סיוע למשטרה ולשב""כ",,,מקוצעי קבע,,,,אירוע מעלות ועדת חורב,"ימ""מ - יחידה מרכזית מיוחדת היחידה ללוחמה בטרור",Alik Ron (https://www.notion.so/Alik-Ron-44dac5ab90994c8ea23871e229e38fac?pvs=21),,ראובן יעקב (נמרוד),"אסף חפץ, אליק רון, דוד צור",,"נמוכה - בט""ש",,,,,,,Yamam Counter-terrorism,,גבוהה,,,,,"Argaman, Yosef. 1996. The Border: The History of the Border Guard. Tel Aviv: Ministry of Defense.",כלל ארצי,CT,רובאי 7 או קורס קצינים,,,,Yamam Counter-terrorism,,,"יחידה עצמאית, כוללות צוותים מתמחים בפריצה, צליפה, חבלה, כלבנים, קופי טרור",,,,,,,,"רכש עצמאי ברמת היחידה רובי סער, רובי צלפים, shotgun, תתי מקלעים, אקדחים, רימונים, מטולי לאו, רקטות נגד ביצורים מדגם שיפון תוצרת תע""ש, מטולי רימונים, רימוני הלם, אמצעי ראיית לילה, מערכת דימות תרמית, מערכת למעקב וירי מרחוק, צייני לייזר, מצלמות, אמצעי קשר, אמצעי סילוק פצצות, אמצעי זיהוי עמית-טורף",,1973,
Unit Yanmam Airborne Anti Aircraft Unit,Infantry,,,,,,General,,,,,"הפעלת אמצעי נ""מ ניידים מעבר לקווי אויב לשם הגנה אווירית בזמן מינימלי ליחידות עומק",,,,,,168 Squadron,,,"ינמ""מ ",,,,,,,,,,,,,Duvdevan (Unit 217),עוצבת האש,,,,,,,,SAM,כמו מגלן,Company,,,,,,"טירונות בבסיס האימונים החטיבתי של צנחנים, הכשרת מגלן, קורס מ""כים ייעודי, בחלקו האחרון של המסלול תכנים ייעודים על פי תחומי העיסוק של הצוות",,,,,,,,,,2012,
"Visual Intelligence Unit - 869 - Shahaf ",Field Intelligence,,,Field Intelligence - Daniel Asher.pdf (https://dl.airtable.com/xqrCtpoMRyGxY1kuD0FT_Field%20Intelligence%20-%20Daniel%20Asher.pdf),,,General,,,,,,,,,,,,,,,,,,,,,,,,,,,Visual Intelligence Unit 1973,,,,,,,"Asher, Daniel (2013): Battlefield Intelligence. The Observer before the Camp. Combat Intelligence Collection Corps.",,Visint,,,,,Visual Intelligence Unit 1973,,,,,,,,,,,,0,1973,
"Intelligence 131 ",Intelligence,,,,,,AMAN,,,,,"הפצת תעמולה שחורה, ושיטות אחרות של לוחמה פסיכולוגית שנוסו במלחמת העולם על-ידי ה-SOE, לזרוע בהן בהלה, לפגוע ברצון הלחימה של האוכלוסייה על ידי ביצוע פיגועים, פעילות בעת מלחמה בלב ארצות אויב",ליחידה לא הוגדר תפקיד בתקופות שבין מלחמות,פרשת לבון,,,,AMAN,,,יחידה 131,,,,,SOE,,"בסיס עיקרי בקריה, בנוסף בית ספר ומחלקת קשר עם הסוכנים ",,,,,,Research 2,,,,,,,,,Sabotage and Unconventional Warfare,קשיים בגיוס.  החלטה לגייס הרפתקנים ואנשים עם עבר פלילי בכלל זה אברי אלעד ומרדכי קידר גיוס של יהודים מארצות ערב,,,,Intelligence 188,,,,,,,,,,,,0,1953,
Yacmam A - The Shahaf Seagull Battalion,Field Intelligence,,,,,,,,,,,ויזינט - מודיעין קרבי,,,,,,,,,פלגת יחמם אפלגת האינדיאנים,,,,,,,,,,,,,,גדוד שחף,,,,,,,,,,Platoon,,,,,,"פעילות מתוך מוצבים, פעילויות רגליות בשטח",,,,,,,,,0,2000,
Naval Commandos,"Palmach, Palyam",,,,,,Navy,,,,,,,,,,,,,,הקומנדו הימי יחידת המתאבדים של אסקימו,,,אורי ברכמן-שילה,אהרן בן-יוסף,,,יפו,30 איש,,,,מיליציה,Naval Commandos,השירות הימי,,,,,,,,Naval,"יוצאי פיל""ם והצבא הבריטי",,,,Flotilla 13,שייטת 13,,,,,,,,,,,1948,1948,
332 Battalion,"Paratroopers, Paratroopers Brigade 35",,,,,,Center,,,,,,,,,,,,,,מרגמות מוצנחות 322,,,,,,,,,,,,,332 Battalion,,,,,,,,,Airborne Artillery,,,,,332 Battalion,,,,,,,,,,,,1956,1956,
The Syrian Platoon,Palmach,,,,,,North,,,,,פעולות מסוערבות במדינות ערב בשירות הצבא הבריטי במתכונת ה-SOE,פעולות מסוערבות בפלשתינה בשירות ההגנה,"מאבק בין הפלמ""ח והצבא הבריטי על השילטה ביחידה ",,,,Palmach,,"מלחמת העולם השניה הצבא הבריטי היה מעוניין בחוליות שיפעלו בעורף נאויב במקרה של כיבוש גרמני במתכונת ה-SOE ","המחלקה הסורית ",,,"טוביה ארזי, יגאל אלון, ירוחם כהן","שמעון סומך, חיימקה לבקוב",תאודור וון היפל - צבא גרמניה,גבוהה,,,,מודיעין/לוחמה זעירה,,מיליציה,Filed Companies,"פלמ""ח",,גבוהה,,,,,,Deep Reconnaissance,,,,,The Arab Squad,מסתערבים,16,"פעילות צבאית, חבלה, אימון ימי, לימודי, שפה, דת ותרבות היחידה הניחה למעשה את הבסיס לתורת ההסתערבות",,,,,,,,,1943,1940,
Combat Engineering Reconnaissance Platoon 603,"Combat Engineering Reconnaissance Platoons, Engineering",,,,,,North,,,,,"איסוף מודיעין הנדסי, סריקת שטח","בט""ש",,,,,,,,"מחס""ר להב 603 ",,,,,,גבוהה נמוכה,,,16 לוחמים,,,,Combat Engineering Reconnaissance Company 603,,,,פלס-סייר,,,,,,"בעבר לוחמים מצטיינים בגדוד, איתור מיוחד בעת גיבוש יהלם",Platoon,,,Combat Engineering Reconnaissance Company 603,,,"לוחמה, ניווטים, קורס מודיעין וסיור, הסוואה, פריצה , חבלה וקרב מגע, במסגרת האימון המתקדם.",,,,,,האמרים,,"אמצעי תצפית תרמי ""עמית"" ו""עמית-איכון"", וכן ""ערמון"" - משקפת הנדסית עם מד טווח לייזר, אמצעים מסווגים לניתוח קרקע ורמת עבירות. ",0,1993,
Yiftach - Weapons Development Unit,Engineering,,,,,,,,,,,,,,,,,,,,,David Laskov (https://www.notion.so/David-Laskov-6d1359bf243f46a680901ea78e22941c?pvs=21),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1970,
Intelligence Service 805,Intelligence,,,,,,AMAN,,,,,,,,,,,,,,"ש""מ 18 יחידת הסוכנים של שירות המודיעין של צה""ל",,,"סומך, שמריה גוטמן",,SOE,,,,,מודיעין/לוחמה זעירה,,,Intelligence Service 18 805,מסתערבים - שחר,,,,,,,,Spyware and sabotage,,,,,Intelligence Service 18 805,,,,,,,,,,,,1950,1948,
Rimon 845,"Givati Brigade 84, Regional, Southern Command",,,,,,South,,,,,"התמחות בלוחמה במדבר., ובחדירות המחבלים מחצי האי סיני בעומק הנגב, לחימה ברצועת עזה","מיועדת לטפל באירועי פח""ע בגזרה הדרומית",,,,"Dissolved, The 89th Oz Brigade",,,"מבצע עופרת יצוקה,  התערערות היציבות בגבול עם סיני",סיירת רימון החדשה,,,"רס""ן בני, איש 669 ופלחה""ן גבעתי",,,נמוכה,,,,,,,Granade Rimon,חטיבת גבעתי,,היחידה פעלה לטפח תרבות ייחודית מיום הקמתה. זיקה ליחידת רימון המקורית אך שמירה על מרחק מזיהוי עמה.,,,,,דרום,COIN,"פיקוד מבוסס על קצינים מיחידות עלית. גיוס צוות סדיר ראשון ישירות ליחידה, גיבוש לגדס""ר גבעתי, נופלי טיס",Battalion,,,"""The 89th """"Oz"""" Brigade""",,,"טירונות, לש""ב, ניווטים במדבר ובמרחבים אורבניים, לוט""ר, סיור, עם גדס""ר גבעתי, הכשרת לוט""ר ארוכה במיוחד, יירוט פח""ע, ומגוון הכשרות הקשורות להישרדות במדבר – ניווטי מדבר, ניווטי כוכבים, תנועה בשטח מדברי, עקבות, בעלי חיים, איך מוצאים מחסה ומזון.",,,,,,,,,2015,2010,
99 Division,99 Division - The Maneuver Formation,,,,,,,,,,,,,,,,,,"September 15, 2020",,,,Avi Rosenfeld,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020,
Unit Alpinistim (Res),"810 Brigade, Reconnaissance Battalion 7810, Regional",,,,,,North,,,,,לוחמה באיזורים מושלגים,,,,מילואים,,,,"פירוק יחידת אגוז, הקשיים של היחידות האחרות בלוחמה בחרמון.","אלפיניסטים, סיירת ארז, סיירת החרמונים",,,דוד מתג,,,,חרמון,,,,,,Unit Alpinistim (Res),סיירת אגוז,,,,,,"Givati, Moshe. 2015. המערכה בחרמון : הקרבות ברכסי החרמון במלחמת יום הכיפורים ולאחריה
. תל אביב : משרד הביטחון ההוצאה לאור.",צפון,Rough Terrain,מילואים,,,,Unit Alpinistim (Res),,,,,,,,,חתולי שלג,,,,1974,
Unit 30,"Regional, Southern Command",,,,,,South,,,,,"הגנה דינאמית, המנעה","מיפוי, סיור, פעולות תגמול ",,,,,9 Brigade,,הסתננויות,יחידה 30,,Moshe Dayan,"אברהם לוין, חיים דים","בני ענבר, אהרון קמרה",,נמוכה,,30,,,,נמוכה,Unit 30,חטיבת הנגב,נמוכה,,,,"Dayan, Moshe. 1976. Story of My Life. Jerusalem and Tel-Aviv: Edanim Publishers and Dvir Publishing House. pp. 98-106",,דרום,Preventive,גיוס אקראי,Company,2 מחלקות,,Sayeret Shaked 424,שקד,20,"מסעות ארוכים אימוני כידון, קורסים בחבלה, בצליפה ובנהיגה, קורס צניחה",,4 חודשים,,,,,,"סטן, ברן ",1952,1951,
The Arab Squad,Palmach,,,,,,Haifa,,,,,,,צירוף לפלוגת השחר,,,,Palmach,,,"הכיתה הערבית של הפלמ""ח",,,יצחק חנקין,"יעקובה כהן, יוסף בן סעדיה, סעדיה סעיד, יוסף גיאת, דוד קומם (קיפניס), גיורא זייד, יוסקה יפת (כל הארץ), יהודה פרנקו",,נמוכה,ח'ריבה כרמל,12 איש,,מודיעין/לוחמה זעירה,,מיליציה,The Syrian Platoon,"פלמ""ח",,גבוהה,,,,,,HUMINT,מראה ערבי,,,,Intelligence Service 18 805,פלוגת שחר,,,,,,,,,,,1948,1942,
Wing 7,Air force,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Wing,,,,,,,,,,,,,,,,2020,
"Golani Reconnaissance Battalion ","Infantry, Northern Command",,,,,,North,,,,,,"אגרוף לחימה איכותי נגד הטרור, תוך שילוב אמצעים שאינם קיימים בגדודי החי""ר הרגילים",,,,,,,פיקוד ושליטה משופרים החל מהפיקוד בזמן לחימה ועד להדרכה וללוגיסטיקה,"גדס""ר גולני",,,,,,,,,,,,,"Golani Anti-Tank Company 1977, Golani Engineering company, Reconnaisance Platoon Golani",,,,,,,,,Reconnaissance,,Battalion,,,,,,,,,,,,,,,2020,2001,
Port Company,Palmach,,,,,,Navy,,,,,הגנה על פועלי נמל חיפה היהודים,"רכש עבור חיל הים העתידי, לחימה בקרבות לשחרור חיפה",,,,,,,הטבח בבתי הזיקוק,פלוגת הנמל,,,יוחאי בן-נור,אדמונד וילהלם ברילנט,,,נמל חיפה,,,הגנה דינאמית,,מיליציה,,"פלי""ם",,,,,,,,Defensive,,,,,,"שייטת 13, מדור בקרת נזקים, 707",,,,,,,,,,,1948,1947,
Air Force,IDF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Corps,,,,,,,,,,,,,,,,1948,
Depth Corps,IDF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Corps,,,,,,,,,,,,,,,,2012,
Granade Rimon Unit 5176,"Regional, Southern Command",,,,,,Gaza,,,,,לחימה בטרור ברצועת עזה,,,,,,,,"התגברות פח""ע ברצועת עזה",רימון סיירת חופים,Meir Dagan (https://www.notion.so/Meir-Dagan-e3de062f78884c4e9cfb8eaa8eb9b506?pvs=21),,מאיר דגן,,,נמוכה,,,,,,,,צנחנים,נמוכה,,,,,,דרום,CT,,,,,"Regional Brigade 417, Shimshon (Unit 367)","דובדבן, שמשמון, ימ""ס",,"ירי מהיר באקדחים מסוגים שונים, פעילות בדגש על המרחבים האורבניים, יחד עם אנשי שב""כ, במטרה לאתר, לעצור ולחסל מחבלים.",,,,,,,,,1971,1970,
Border Police Reconnaissance Unit - Central District,"Police, SAMAG",,,,,,Center,,,,,,,,,,,,,,סיירת מגב מרכז,,,,,,,,,,,,,Border Patrol Reconnaissance Unit - Central District,,,,,,,,,Reconnaissance,,,,,Border Patrol Reconnaissance Unit - Central District,,,,,,,,,,,,0,1983,
Golani Brigade 1,,,,,,,,,,,,,,,,,,,"February 28, 1948",,,,,,,,,,,,,,,,,,,,,,,,,,Brigade,,,,,,,,,,,,,,,,1948,
Airborne Battalion 890,"Paratroopers, Paratroopers Brigade 35",https://www.202.org.il/Pages/gdud_890/history/1951.php,,,,,Center,,,,,הכשרת צנחנים,"לא הוגדר, עסקו בעיקר בבט""ש באיזור ירושלים, בהמשך פעולות תגמול.",,,,,,,כישלון יחידת הצנחנים הקודמת,"גדוד 890 במסגרת בה""ד 8 ביה""ס לצניחה",,,יהודה הררי,"מסרל טוביאס, יצחק ולקר, ירחמיאל אבנון, קלמן מגן, יחיאל לוין, מרדכי ילישביץ, ברוך פרומקין, שבתאי אילון (אילוז), אברהם תמיר (סיומקין), גדעון ריבלין .",,,תל-נוף,72,,,,,Airborne Battalion 890 1950,,,,,,,,,,"קשיים בגיוס. קיבוצניקים ומשבניקים פנו לנח""ל. עולים חדשים וילידי הארץ הותיקים הגיעו לגולני גבעתי ושריון ו""השארית"" הגיעה לצנחנים",Battalion,פלוגה מבצעית אחת,,Airborne Battalion 890 1950,צנחנים,,,,,צניחה,,,,,,,1950,
"Nodedet ",Haganah,,,,,,Tel Aviv,,,,,הגנה מקומית,,,,,,Haganah,,המרד הערבי,הנודדת,"Eliyahu Ben-Hur (https://www.notion.so/Eliyahu-Ben-Hur-a2f965e5fcf74f0386e71500d3dfeec3?pvs=21), Yitzhak Sadeh (https://www.notion.so/Yitzhak-Sadeh-44483e3a2aae40ff9d8f94f41b34eabe?pvs=21)",,,,,נמוכה,,70 איש,,הגנה דינאמית,,מיליציה,Nodedet,,,,,,,,תל-אביב,Preventive,,,,,Nodedet in Jerusalem,,,,,,,,,,,,1939,1936,
Airborne  Reconnaissance Company 5173 - Taipan,Paratroopers,,,,,,Center,,,,,פעולות תגמול,,,,,,,,,סיירת צנחנים 202 פלוגת סיור חטיבתית 5173,,,Ariel Sharon,Meir Har-Zion,101,,החל מ-1957 תל-נוף,,,,,,Airborne  Reconnaisance 5173,"101, 890",,,,,,,מרכז,Reconnaissance,,,,,Airborne  Reconnaisance 5173,"סיירת מטכ""ל, סיירת צנחנים",,,,,,,,,,,0,1956,
Sayeret Shaked 424,"Regional, Southern Command",,,,,,South,,,,,המנעה,החל משנת 1970 גדוד קומנדו תחת פיקודו של דני וולף רהב,פירוק הסיירות הפיקודיות,,,,,,"הסתננויות, בעיקר בגיזרה הדרום-מערבית של פיקוד הדרום",סיירת שקד 424,"Amatia Chen Patzi (https://www.notion.so/Amatia-Chen-Patzi-7c704af59e1a46d5b2be2690b145fd27?pvs=21), Muki Betser (https://www.notion.so/Muki-Betser-24f4d13a47ba47449fa3bcf55636a999?pvs=21), Amos Yarkoni (https://www.notion.so/Amos-Yarkoni-a37e786108b34d20a5abe429db14a63c?pvs=21), Binyamin Ben-Eliezer (https://www.notion.so/Binyamin-Ben-Eliezer-cc899f8a56b540afbd7147c119eda4e5?pvs=21), Dani Rahav Wolf (https://www.notion.so/Dani-Rahav-Wolf-7f4aad141476405380ac1a1483cca816?pvs=21)",,צבי עופר,"נדב נוימן, עבד אל-מאג'יד, דב סטרליץ, דני וולף רהב",,נמוכה,,,,,,,Sayeret Shaked 424,"יחידה 30, כוח משימה קטן שהוקם בפיקוד המרכז, סיירת נח""ל ערבה 150",,,,,,,דרום,Preventive,,,,,Sayeret Shaked 424,הסיירות הפיקודיות,20,"שילוב בין גישות מסורתיות לגישוש לבין הפעלת אמצעים מתקדמים: דגן - מקלע המופעל באמצעות קרן פוטו אלקטרית, קשת - מכ""ם קרקעי מגלה חדירות.",,,,,,"ג'יפים, מסוקים",,,1979,1955,
Sayeret Debora,Northern Command,,,,,,Northern Command,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,North,,,,,,,,,,,,,,,,,,,2021,
Yahalom Combat Engineering Unit for Special Operations,Engineering,,,,,,General,,,,,"איתור והשמדת סליקים, ביצוע הריסות מדויקות, הכנת מטענים ופצצות, הנדסה ופריצה בים וביבשה, וביצוע שאר משימות מיוחדות., חבלה בתשתיות האויב, טיפול בחומרי נפץ (כולל פיצוץ מדויק), מעברים תת-קרקעיים ומנהרות הברחה ותופת, נטרול מטעני חבלה, פינוי שדות מוקשים",,,,,,,,צורך ביחידת עלית של חיל ההנדסה שמשלבת תחומי התמחות,"יהל""ם יחידת הנדסה למשימות מיוחדות",,,,,,גבוהה נמוכה,מחנה סירקין,,,,,,Yahalom Combat Engineering Unit for Special Operations,"יחס""פ וסיירת יעל",,,,,"“Yahalom Unit.” 2021. IDF. December 28, 2021. https://www.idf.il/en/minisites/idf-units/yahalom-unit/yahalom-unit/.",,הנדסה,COIN,"גיוס לחיל הנדסה, טירונות, מעבר גיבוש בן חמישה ימים",Brigade,,,Yahalom Combat Engineering Unit for Special Operations,,,"טירונות פלס 5,  אימוני חי""ר בסיסי ומתקדם, כולל הכשרות הישרדות, ניווט, קליעה, לוחמה זעירה, קרב מגע, לוחמה בטרור, טיפוס גלישה וחילוץ, לוחמה בשטח בנוי, צניחה ועוד, כמו גם הכשרה מקצועית בתחומי ההנדסה הקרבית. הכשרה פיקודית. חלוקה למגמות.",,16 חודשים,,,,,,,0,1995,
Sayeret Egoz 483,"Northern Command, Regional",,,,,,North,,,,,פעילות מיעוטים בעורף הסורי במקרה שהם יצטרפו למלחמה,"בט""ש בגיזרת ג'נין",התקלות במארב של משמר הגבול באום-אל פאחם,,,,,,לקראת מבצע קדש יחידה דרוזית לפעילות בעורף האויב הדרוזי,סיירת אגוז 483,,,אריה גורדי,נפתלי אלקין,,,מחנה בן עמי בהמשך משטרת כרכור,25 לוחמים,,,,,Sayeret Egoz 483 Reconnaissance 1,,,,,,,,צפון,Commando,קבוצת חיילים דרוזים,,,,Sayeret Egoz 483 Reconnaissance 1,"סיירת אגוז, יחידות מיעוטים",,,,אימון הקמה וגיבוש שלושה חודשים,"קרב מגע, סיור, טפוגרפיה, כלי נשק שונים",,,,,,1957,1956,
Masqueraders - Intelligence 18,"IDF, Palmach",,,,,,Haifa,,לא תחרות אך הסתייגות והעדר תמיכה מצד אנשי המחלקה המדינית של הסוכנות,,,"איסוף מודיעין בקרב ערביי א""י ומדינות ערב בלא להסתמך על מקורות יומינטיים ערביים","הפעלת כוח מיוחד שיכול הן לאסוף מודיעין (לימים סיירת מטכ""ל) והן לבצע פעולות חבלה בעורף האויב","סכסוך בין ראש אמ""ן בנימין גבלי ולוחמיה",,,,Palmach,,"גיבוש הפלמ""ח ככוח הצבאי הפורמאלי של היישוב, מיזוג הכיתה הערבית והמחלקה הסורית","היחידה הערבית של הפלמ""ח מסתערבים מחלקת השחר",,,ירוחם כהן,"שמעון סומך, יעקב נמרודי, יעקב-זק צביה, אהרון ספקטור, רחביה ברמן",,נמוכה גבוהה,קיבוץ אלונים,50 איש בכול רגע נתון,,מודיעין/לוחמה זעירה,,מיליציה,The Arab Squad,המחלקה הסורית,,גבוהה,,,,,,Deep Reconnaissance,"מתנדבים בעלי חזות מזרחית שערבית הייתה שפת עמם ",,,,"Intelligence 13 Wing, Intelligence Service 18 805","היחידה המבצעית של אמ""ן (יחידה 188 לשעבר 131)  קיסריה, סיירת מטכ""ל, 504, המסתערבים",,"הכשרה צבאית צליפה, סיירות, ג'ודו, ימאות, נהיגה בכלי רכב ואופנועים, ערבית כתיבה וקריאה,  תפילה, הווי, לבוש, מסורת",,שנה עד שנתיים,,,,,,,1948,1943,
Reconnaissance Company 421,Armor,,,,,,South,,,,,,,,,,,,,,"פלס""ר 421 מילואים",,,חיים רודברג,,,,,,,,,,Reconnaissance Company 421,,,,,,,,,Armor Reconnaissance,,,,,Reconnaissance Company 421,,,,,,,,,,,,1986,1973,
Counter-NBC and purifiers,"Engineering, Yahalom",,,,,,Center,,,,,"יחידת גו""ז",,"החיילים שהפעילו את הנגמ""שים השתחררו ולא נותרו מפעילים בצבא",,,,,,"במהלך מלחמת המפרץ קבלת נגמ""שי שועלית מגרמניה",אנקור,,,,,,,,"שני חיילים, נגד וקצין, כולם עולים ממדינות חבר העמים",,,,,Counter-NBC and purifiers,,,,,,,,"מטכ""לי",Reconnaissance,,,צוות,,Counter-NBC and purifiers,"התמזגה עם יהל""ם ב-2004",,,,,,,,,,,0,1991,
Battalion for Air Assignments (Shaldag) 5101,Air force,,,,,,Palamachim,,,,,,,,,,,Command of the Special Air Forces,,,Battalion for Air Assignments (Shaldag),,,,,,,,,,,,,Battalion for Air Assignments (Shaldag),,,,,,,,,Deep Reconnaissance,,,,,Battalion for Air Assignments (Shaldag),,35,,,,,,,,,,0,1984,
Nahal Anti-Tank Company (Res),ATM,,,,,,North,,,,,,,,,,,,,,"עורב נח""ל מילואים",,,,,,,,,,,,,Nahal Anti-Tank Company (Res),,,,,,,,,Engineering,,,,,Nahal Anti-Tank Company (Res),,,,,,,,,,,,0,1977,
Stinger Anti Aircraft Unit,Air force,,,,,,General,,,,,"בעל ביות אינפרא-אדום ואולטרא-סגול, הפעלת ברקן ( סטינגר) - טיל כתף נ""מ קצר-טווח, ליירוט כלי-טיס מנמיכי טוס., על-קולי",,,,,,,,לקחי מלחמת המפרץ,ברקן,,,,,,,,,,,,,Stinger Anti Aircraft Unit,,,,,,,,גוש דן,SAM,,,,,Stinger Anti Aircraft Unit,,,,,,,,,,,,2012,1998,
Golani Anti-Tank Company,"Golani Brigade, Infantry",,,,,,North,,,,,"לוחמה נגד טנקים ונגד רק""ם טאו","יחידת חיל רגלים מובחרת למשימות התקפיות מורכבות, בט""ש.",,,,,Golani Brigade,,,עורב גולני,,,דני הרמן,"רפי מוסברג, מוטי שפס, יואב שדמה, ציון אוטמזגין, גדי אייזנקוט.",,,,,,,,,Golani Anti-Tank Company 1977,חטיבת גולני,,,,,,,,ATM," גיבוש יח""טיות (יחידות חטיבתיות)",,,,,"גדס""ר גולני",,,,,,,,,,,2001,1977,
Duchiphat Hoopoe Reconnaissance,Paratroopers,,,,,,Center,,,,,כוח נייד ובעל עבירות גבוהה סיוע לצנחנים בשדה הקרב,"אחרי המלחמה בט""ש ברצועת עזה ובבקעת הירדן",כישלון בהפעלת השריוניות,,,,,,חשיבה מוטעית כי ניתן יהיה להוביל שריוניות aml 90 באמצעות מסוקים ולסייע לצנחנים,סיירת דוכיפת,Aharon Davidi (https://www.notion.so/Aharon-Davidi-e24ee87c95134223975031b5943a0fdb?pvs=21),,אהוד שני,"יאיר רפאלי, עדי ליבנה, יורם כפרי, גידי בן-יוסף, אמנון ליפקין-שחק",,גבוהה,,,,,,בינונית,Duchiphat Hoopoe Reconnaisance,צנחנים,נמוכה,"הניסיון להעביר לוחמי חי""ר ללוחמת שריון נתפש כפחיתות כבוד",,,,,,Airborne Armor,,,פלוגה,,Duchiphat Hoopoe Reconnaisance,,,"הפעלת 14 שריונית aml 90 על-ידי אנשי חי""ר צוות שריונית כלל 3 אנשים. צנחנים שעברו קורס מרוכז למקצועות השריון - כולל מפקדי שריוניות - בבית הספר לשריון בג'וליס",,,,,,,"ששת הימים, כראמה",,1969,1966,
Battalion for Air Assignments (Shaldag) 5101,,,,,,,Center,,,,,,,,,,,,,," שלדג 5101",,,,,,,,,,,,,Sayeret Matkal 262 269,,,,,,,,,Deep Reconnaissance,,,,,Battalion for Air Assignments (Shaldag) 5101,,33,,,,,,,,,,1977,1974,
Givati Engineer Company,"Givati Brigade 84, Infantry",,,,,,South,,,,,,,,,,,,,,"פלחה""ן גבעתי",,,,,,,,,,,,,Givati Engineer Company,,,,,,,,,Engineering,,Company,,,Givati Engineer Company,,,,,,,,,,,,2002,1984,
