ID,Name copy,Notes,Status,Year Established,Year Disbanded ,Individuals,References,Predecessor,Successor,Affiliation,Location,Branch,Command,Rrole,Bibliography Attachment,Bibliography,Audio-video,תאריך הקמה,מאפיינים מבצעיים,מאפיינים ארגוניים,נסיבות הקמה,נסיבות פירוק,ייעוד עיקרי,ייעוד משני,פיקוד,זרוע,יחידת אם - לניתוח רשתות,יחידות ממשיכות - לניתוח רשתות,יחידות מתחרות,מייסד היחידה עבור ניתוח רשתות ובדיקת השערת הכרימזה,מפקדים בולטים עבור ניתוח רשתות ובדיקת השערת הכרימזה,מקור השראה,טיפוח תדמית תרבות ארגונית,מידת יוקרה תרבות ארגונית,INDIVIDUALS copy,Field 37
135 Armored Reconnaissance Battalion,135 Armored Reconnaissance Battalion,"פלס""ר 7",,1954,1956,,,9 Armored Brigade,Palsar 7 Armored Reconnaissance Company,,,Armor,North,Armor Reconnaissance,,,,,,,,,"פתיחת תאי שטח לחטיבת השיריון, איסוף מודיעין, איתור איומים וביצוע משימות מיוחדות- רגליות ורכובות","הכוונת מסק""רים וכוחות, תקיפת יעדים ועוד","מטכ""לי",שריון,"פלס""ר 7","פלס""ר 401, 188",,,,,,בינונית,,
Airborne Reconnaissance Company 890,Airborne Reconnaissance Company 890,סיירת הצנחנים הראשונה מחלקת הסיור של גדוד 890 ,,1954,1954,Meir Har Zion,,Airborne   (890),Airborne   (890),,,Paratroopers,Center,Airborne,,,,,,,,,,,,,,,,מאיר הר ציון,,"מיכה בן ארי קפוסטה, אהרון (ארול) אשל, מאיר יעקבי, יאיר תל צור, שמעון כהנר (קצ'ה).",,,Meir Har Zion,
Nahal Reconnaisance Platoon 150,Nahal Reconnaisance Platoon 150,"סיירת נח""ל ערבה 150",,1954,1954,,,Unit 30,Sayeret Shaked 424,,Nahal Reconnaissance Platoon 150,Regional,South,Preventive,,,,,,,הרצח במעלה העקרבים,,"ליווי שיירות בנגב, סיורים בנגב מאבק במסתננים",,דרום,,,נטמעה ב-890,,"יעקב ארנון, צבי לבנון",,,,,,
Intelligence 188,Intelligence 188,"יחידה 188 אמ""ן",,1955,,,,Intelligence 131,Mossad,AMAN,,Intelligence,AMAN,Humint,,https://paperpile.com/app/p/b3ce1447-c4e4-07cd-acf7-7250a1129fd8,,,,,,איחוד עם המוסד יחידת קיסריה,היומינט,,ריגול,מודיעין,,קיסריה,,,"וסק'ה יריב (שכונה ""דן""), סגנו גדליה
חלף ושמעון סומך (""סמעאן"")",,,,,
Sayeret Shaked 424,Sayeret Shaked 424,סיירת שקד 424,,1955,1979,,,Sayeret Shaked 424,Sayeret Shaked 424,,Sayeret Shaked 424,Regional,South,Preventive,,,,מאי,,,"הסתננויות, בעיקר בגיזרה הדרום-מערבית של פיקוד הדרום",פירוק הסיירות הפיקודיות,המנעה,החל משנת 1970 גדוד קומנדו תחת פיקודו של דני וולף רהב,דרום,,"יחידה 30, כוח משימה קטן שהוקם בפיקוד המרכז, סיירת נח""ל ערבה 150",הסיירות הפיקודיות,,צבי עופר,"נדב נוימן, עבד אל-מאג'יד, דב סטרליץ, דני וולף רהב",,,,,
7 Armored Reconnaissance Company,7 Armored Reconnaissance Company,"פלס""ר 7",,1956,1973,,,Palsar 7 Armored Reconnaissance Company,Palsar 7 Armored Reconnaissance Company,,,Armor,North,Armor Reconnaissance,Palsar 7 1967.pdf (https://dl.airtable.com/kKbgkzHPRvOr1yAYqhvM_Palsar%207%201967.pdf),,,,,,,,"פתיחת תאי שטח לחטיבת השיריון, איסוף מודיעין, איתור איומים וביצוע משימות מיוחדות- רגליות ורכובות","הכוונת מסק""רים וכוחות, תקיפת יעדים ועוד","מטכ""לי",שריון,"פלס""ר 7","פלס""ר 401, 188",,,,,,בינונית,,
332 Mortar Battalion,332 Mortar Battalion,מרגמות מוצנחות 322,,1956,1956,,,332 Battalion,332 Battalion,,,Paratroopers,Center,Airborne Artillery,,,,,,,,,,,,,,,,,,,,,,
Airborne  Reconnaisance 5173,Airborne  Reconnaisance 5173,סיירת צנחנים 202 פלוגת סיור חטיבתית 5173,,1956,1957,Micha Ben-Ari,,Airborne  Reconnaisance 5173,Airborne  Reconnaisance 5173,,,Paratroopers,Center,Reconnaissance,,,,,,,,,פעולות תגמול,,מרכז,"חי""ר","101, 890","סיירת מטכ""ל, סיירת צנחנים",,"אריאל שרון, מאיר הר-ציון","מאיר הרציון, מיכה בן-ארי",101,,,Micha Ben-Ari,
Sayeret Egoz 483 Reconnaissance 1,Sayeret Egoz 483 Reconnaissance 1,סיירת אגוז 483,,1956,1957,,,Sayeret Egoz 483 Reconnaissance 1,Sayeret Egoz 483 Reconnaissance 1,,Sayeret Egoz 483 1,Regional,North,Commando,,,,,,,לקראת מבצע קדש יחידה דרוזית לפעילות בעורף האויב הדרוזי,התקלות במארב של משמר הגבול באום-אל פאחם,פעילות מיעוטים בעורף הסורי במקרה שהם יצטרפו למלחמה,"בט""ש בגיזרת ג'נין",צפון,"חי""ר",,"סיירת אגוז, יחידות מיעוטים",,אריה גורדי,נפתלי אלקין,,,,,
Unit 755,Unit 755,יחידה 755,,1956,1970,,,Unit 755,Unit 755,,,Artillery,,ATM,,,,,,,,,,,,,,,,,,,,,,
Airborne  Reconnaissance 73,Airborne  Reconnaissance 73,,,1957,2002,Aharon Eshel - Erol,,Airborne  Reconnaisance 73,Airborne  Reconnaisance 73,,,Paratroopers,Tel Nof,Reconnaissance,,,,,,,,,,,,,,,,,,,,,Aharon Eshel - Erol,
Sayeret Matkal 262 269,Sayeret Matkal 262 269,"סיירת מטכ""ל",,1957,,Avraham Arnan,,,Sayeret Matkal 262 269,"Special Operations,AMAN",,Intelligence,AMAN,SIGINT,,,,,,,,,,,,"אמ""ן","154, סיירת צנחנים",שלדג,"חרוב, שקד","אברהם ארנן, מאיר הר ציון",מיכה בן-ארי,SAS,,,Avraham Arnan,
Master Divers,,חולית האמודאים,,1951,1962,Edmond Wilhelm Brillant,,,,,,Navy,Navy,Technical Diving,,,,,,,,,,,,,,,,,,,,,Edmond Wilhelm Brillant,
Unit 707 - Defensive Divers ,Unit 707 - Defensive Divers ,צוללים הגנתיים 707 ,,1962,1976,Shaul Sela,,Flotilla 13,"Flotilla 13,Yaltam Underwater Missions",,,Navy,Navy,Naval Commando,Unit 707.pdf (https://dl.airtable.com/hZLYQhw3QwqUXOReHLlr_Unit%20707.pdf),,,,,,הסרת נטל הצלילה ההגנתית מהשייטת,בהנהגת שאול זיו היחידה לקחה על עצמה תפקידים התקפיים הוגדרה כיחידת פשיטה. ולא הייתה עוד הצדקה להפרדה משייטת 13,עבודות תת מימיות בעלות אופן טכני,"החל משנת 1965  פעילות בט""ש ביחד עם סיירת שקד ועם גולני, תחרות עם שייטת 13",,ים,"יחידת האמודאים, מספנות חיל הים ומדור בקרת נזקים","שייטת 13 ילת""ם",, אדמונד וילהלם ברילנט,"שאול זיו, נדב קלע, דב בר, יוסי דר, איתמר שחם",,הניסיון להעביר לוחמי שייטת ליחידה נתפש כפחיתות כבוד,,Shaul Sela,
Egoz,Egoz,אגוז,,1963,,,,,,,,Regional,,,,,,,,,,,מארבים באזורי חדירת מחבלים,,,,,,,,,,,,,
Paratroopers Engineer Company,Paratroopers Engineer Company,"פלחה""ן צנחנים",,1963,2002,,,Paratroopers Engineer Company,Paratroopers Engineer Company,,,Infantry,Center,Engineering,,,,,,,,,"פשיטות חבלה בעורף האויב וכן כל מבצע הנדסי רכוב, רגלי או מוצנח.","בט""ש",,"חי""ר",מחלקת חבלה מסגרת חטיבת המילואים 80,"פלחה""ן במסגרת הגדס""ר",,מייק מיכאלי קיש,,,,,,
Sayeret 525 Reconnaisance,Sayeret 525 Reconnaisance,סיירת 525,,1963,1964,,,Sayeret Shaked 424,Sayeret Shaked 424,,,Regional,South,Preventive,,,,,,,"הסתננויות, בערבה ובהר הנגב ",נטמעה בשקד,המנעה,,דרום,,יחידה 300,סיירת שקד,,אהרון גיל,"סאלח אל-הייב, אמציה חן פצי",,,,,
Sayeret Egoz 483,Sayeret Egoz 483,סיירת אגוז 483,,1963,1974,,,Sayeret Egoz 483,Sayeret Egoz 483,,,Regional,North,Preventive,,,,,,,החלטת הפיסגה הערבית על הטיית מי הירדן אבטחת המוביל הארצי,פירוק הסיירות הפיקודיות,"כוח סיור להיערכות הגנתית, משימות ביטחון שוטף עיקוב וגישוש מניעת חדירות של חוליות פתח מגבול הצפון.",יחידת עלית שתהיה זמינה באופן קבוע ובעלת היכרות מעמיקה עם הגיזרה,צפון,"חי""ר",,,,חיים סלע,אבי תלם,,,,,
Golani Engineering company,Golani Engineering company,"פלחה""ן גולני מילואים",,1965,2001,,,Golani Engineering company,Golani Engineering company,,,Infantry,North,Engineering,,,,,,,,,"לחימת חי""ר תוך שילוב כשירויות הנדסה וחבלה: התמודדות עם מוקשים ומטענים, פילוס נתיבים והקמת גישור וביצורים, מילכוד מתקני אוייב, פיצוץ, פריצה והשמדה.","במלחמת יום הכיפורים שימשה הפלחה""ן כסיירת",,,"סיירת אגוז, גולני",סיירת ארז - אלפיניסטים - אגוז,,שייקה ארז,,,,,,
114 Squadron Night Leaders Squadron,114 Squadron Night Leaders Squadron,טייסת מובילי הלילה,,1966,,Uri Yarom,,114 Squadron Night Leaders Squadron,114 Squadron Night Leaders Squadron,,,Air force,Air Force,Landing of forces,,,,ינואר,,,,,"הנחתת כוחות מעבר לקווי האויב, הובלת ציוד לחימה וחילוץ נפגעים",,,,,,,,,,,,Uri Yarom,
Bat (ATALEF) Unit,Bat (ATALEF) Unit,יחידת עטלף,,1966,1966,,,Sayeret Shaked 424,Bat (ATALEF) Unit,,,Regional,South,Optical observations,,,,,,,,,,,,,,,,,,,,,,
Duchiphat Hoopoe Reconnaisance,Duchiphat Hoopoe Reconnaisance,סיירת דוכיפת,,1966,1969,Aharon Davidi,,Duchiphat Hoopoe Reconnaisance,Duchiphat Hoopoe Reconnaisance,,,Paratroopers,Center,Airborne Armor,,,,,,בינונית,חשיבה מוטעית כי ניתן יהיה להוביל שריוניות aml 90 באמצעות מסוקים ולסייע לצנחנים,כישלון בהפעלת השריוניות,כוח נייד ובעל עבירות גבוהה סיוע לצנחנים בשדה הקרב,"אחרי המלחמה בט""ש ברצועת עזה ובבקעת הירדן",,"חי""ר שריון קל",צנחנים,,,אהוד שני,"יאיר רפאלי, עדי ליבנה, יורם כפרי, גידי בן-יוסף, אמנון ליפקין-שחק",,"הניסיון להעביר לוחמי חי""ר ללוחמת שריון נתפש כפחיתות כבוד",נמוכה,Aharon Davidi,
Sayeret Haruv 484,Sayeret Haruv 484,סיירת חרוב 484,,1966,1974,,,Sayeret Haruv 484,Sayeret Haruv 484,,,Regional,Center,Preventive,,,,29 ביולי,,,הוקמה כמחלקת סיור ביחידת המודיעין של חטיבת הצנחנים הסדירה 35,,"המנעה בט""ש","לוט""ר",מרכז,"חי""ר",צנחנים,,,חזי יחזקאל שלום,,,,,,
Druze Reconnaissance Unit 244,Druze Reconnaissance Unit 244,סיירת שחר 244,,1967,,,,Druze Reconnaissance Unit 244,Druze Reconnaissance Unit 244,,,Infantry,North,Reconnaissance,,,,,,,,,,,,,,,,,,,,,,
ATM Recon Unit 70,ATM Recon Unit 70,"יחידת סיור נ""ט מס' 70",,1968,,,,ATM Recon Unit 70,ATM Recon Unit 70,,,Infantry,,,,,,,,,,,,,,צנחנים,דוכיפת,פלוגות העורב,,גד נגבי,,,,,,
Polar Bear Unit 88,Polar Bear Unit 88,דב לבן בהמשך גדוד 88 בחטיבה 274,,1968,1974,,,Polar Bear Unit 88,Polar Bear Unit 88,,,Armor,South,Armor  Commando,,,,,,,טנקי שלל מלחמת ששת הימים,,הפעלת טנקי הטירן הסובייטיים שנלקחו שלל במלחמת ששת הימים טנקים קלים שניתן היה להנחית אותם מרחפות ולהסוות אותם כטנקים מצריים,,,שריון,"פלס""ר 7 היחידה השתייכה לחטיבה 8",,,יוסלה יודביץ,שלמה באום,,,,,
Reconnaisance Anti-Tank 582 80,Reconnaisance Anti-Tank 582 80,"גדוד סיור ונ""ט 582 של חטיבת המילואים 80",,1968,1972,,,Reconnaisance Anti-Tank 582 80,Reconnaisance Anti-Tank 582 80,,,Paratroopers,Center,Reconnaissance Battalion,,,,,,,דוידי חיפש דרכים לצקת תוכן במושג הסיירות,הצבא לא תמך בהקמה ולא ראה צורך בקיום היחידה,"הפעלת משולבת של תול""רים, חה""ן, ויחידת הסיור - מעין גדס""ר במתכונת ראשונית ","בט""ש",,צנחנים,חטיבת הצנחנים,פלוגות העורב,,מיכה בן-ארי קופסטה,,"עמי-יעל אקסלרוד, אמיר קרן, נתן שורני",,,,
Sayeret 401 Armored Reconnaissance Company 1968,Sayeret 401 Armored Reconnaissance Company 1968,"פלס""ר 401",,1968,1972,,,Sayeret 401 Armored Reconnaissance Company 1968,Sayeret 401 Armored Reconnaissance Company 1968,,,Armor,South,Armor Reconnaissance,,,,,,,מלחמת ששת הימים,,,,דרום תעלת סואץ,שריון,,,,,,,,,,
Shaked Pseudocerastes Shfifon,Shaked Pseudocerastes Shfifon,שפיפון,,1968,1969,,,Sayeret Shaked 424,Sayeret Shaked 424,,,Regional,South,Preventive,,,,,,,גישה התקפית כנגד פעולות מחבלים בדרום הערבה,,המנעה ומכות מנע תגובה לפעילות מחבלים ומיקוש בתוך שטח ישראל,פעולות תגמול והרתעה,דרום,"חי""ר",שקד,,,בנימין בן אליעזר,אמציה חן פצי,,,,,
Special Operations,Special Operations,מבצעים מיוחדים,,1969,,,,Sayeret Matkal 262 269,,AMAN,,Intelligence,AMAN,,,https://paperpile.com/app/p/ef663d45-0d5c-0144-b83d-e2d597a37e53,,,,,,,,,,,,,,,,,,,,
118 Squadron Nocturnal Birds of Prey Squadron,118 Squadron Nocturnal Birds of Prey Squadron,טייסת דורסי הלילה,,1970,,,,118 Squadron Nocturnal Birds of Prey Squadron,118 Squadron Nocturnal Birds of Prey Squadron,,,Air force,Air Force,Landing of forces,,,,אוגוסט,,,קליטת מסוקי יסעור,,"תובלת סער, חילוץ נפגעים, פינויים מקווי החזית ובמבצעים משולבים",הטסת לוחמי יחידות עלית למבצעים בעומק שטח האויב,,אויר,מובילי הלילה,,,,,,,,,
Bomb Disposal Unit 1970,Bomb Disposal Unit 1970,"יחס""פ - ס""פ",,1970,1995,,,Bomb Disposal Unit 1970,Bomb Disposal Unit 1970,,,Engineering,General,Bomb disposal,,,,,,,"הכרה של הרמטכ""ל בסלק כמקצוע ייחודי התנדבותי דוגמת טייס או צוללן",,"ניטרול מטענים במבנים, סילוק תחמושת, פירוק מטענים מתוחכמים, ראשי קרב של טילים",,עזה,הנדסה,"יחס""פ",,,מאיר סברייגו,יוסי רפאלוב,,,,,
Granade Rimon Unit 5176,Granade Rimon Unit 5176,רימון סיירת חופים,,1970,1971,"Meir Dagan,David Maimon",,,"Shimshon (Unit 367),Regional Brigade 417",,,Regional,Gaza,CT,Bergman Meir Dagan.pdf (https://dl.airtable.com/a7itoVcVRUCRj10AWzIw_Bergman%20Meir%20Dagan.pdf),"Bergman, Ronen. 2018. Rise and Kill First: The Secret History of Israel’s Targeted Assassinations. Random House Publishing Group. https://market.android.com/details?id=book-3UXKDQAAQBAJ.",,,,,"התגברות פח""ע ברצועת עזה",,לחימה בטרור ברצועת עזה,,דרום,,צנחנים,"דובדבן, שמשמון, ימ""ס",,מאיר דגן,,,,נמוכה,"David Maimon, Meir Dagan",
Reconnaissance Company 679,Reconnaissance Company 679,"פלס""ר חטיבת 679 מילואים",,1970,,,,Reconnaissance Company 679,Reconnaissance Company 679,,,Armor,North,Armor Reconnaissance,,,,,,,,,,,,,,,,,,,,,,
Shaked Chameleon Zikit,Shaked Chameleon Zikit,זיקית,,1970,1970,,,Sayeret Shaked 424,Sayeret Shaked 424,Granade Rimon,,Regional,Gaza,Preventive,,,,,,,"התגברות פח""ע ברצועת עזה",,המנעה הסתערבות,,דרום,,שקד,,,משה רובין,,,,,,
Unit 5700,Unit 5700,יחדת הנחתה קדמית 5700,,1972,,,,Unit 5700,Unit 5700,Command of the Special Air Forces,,Air force,Nevatim,,,,,,,,,,,,,,,,,,,,,,,
Gadsar 87 ,Gadsar 87 ,גדוד סיור 87,,1973,,,,Gadsar 87,Gadsar 87,,,,,,,,,,,,מלחמת השחרור,,,,,חטיבה 8,,,,,,,,,,
Natran,Natran,יחידת נתרן - תותחנים מוסקים,,1973,1973,,,Natran,Natran,,,Artillery,General,Airborne Artillery,,,,,,,,,,,,,,,,,,,,,,
Reconnaissance Battalion 87,Reconnaissance Battalion 87,"גדס""ר 87 מילואים",,1973,1974,,,Reconnaissance Battalion 87,Reconnaissance Battalion 87,,,Armor,South,Armor Reconnaissance,,,,מאי,,,,הגדוד נפגע קשות בקרבות החוה הסינית עד שחדל להתקיים,,,,שריון אוגדה 143,אוגדה 143,"פלס""ר חטיבת 421",,"בנצי כרמלי, יואב ברום",,"פלס""ר 87 של חטיבה 8 במהלך מלחמת העצמאות",,,,
Reconnaissance Company 421,Reconnaissance Company 421,"פלס""ר 421 מילואים",,1973,1986,,,Reconnaissance Company 421,Reconnaissance Company 421,,,Armor,South,Armor Reconnaissance,,,,,,,,,,,,,,,,חיים רודברג,,,,,,
Sayeret 401 Armored Reconnaissance Company,Sayeret 401 Armored Reconnaissance Company,"פלס""ר 401",,1973,1974,,,Sayeret 401 Armored Reconnaissance Company,Sayeret 401 Armored Reconnaissance Company,,,Armor,Center,Armor Reconnaissance,,,,,,,הוקמה תוך כדי מלחמת יום הכיפורים,,,,,שריון,,,,,,,,,,
Visual Intelligence Unit - 869 - The Shahaf (Seagull) Battalion,Visual Intelligence Unit - 869 - The Shahaf (Seagull) Battalion,,,1973,,,,Visual Intelligence Unit 1973,Visual Intelligence Unit 1973,,,Field Intelligence,General,Visint,Field Intelligence - Daniel Asher.pdf (https://dl.airtable.com/xqrCtpoMRyGxY1kuD0FT_Field%20Intelligence%20-%20Daniel%20Asher.pdf),,,,,,,,,,,,,,,,,,,,,
Yamam Counter-terrorism,Yamam Counter-terrorism,"ימ""מ - יחידה מרכזית מיוחדת היחידה ללוחמה בטרור",,1973,,,,Yamam Counter-terrorism,Yamam Counter-terrorism,,,Police,General,CT,,,,,,,אירוע מעלות ועדת חורב,,השתלטות שחרור בני ערובה,"סיוע למשטרה ולשב""כ",כלל ארצי,"מג""ב",,,,ראובן יעקב (נמרוד),"אסף חפץ, אליק רון, דוד צור",,,גבוהה,,
98th Paratroopers Division,98th Paratroopers Division,,,1974,,,,98th Paratroopers Division,98th Paratroopers Division,,,Paratroopers,Center,Air assaults,,,,,,,,,,,,,,,,,,,,,,
Shaldag 5101,Battalion for Air Assignments (Shaldag) 5101, שלדג 5101,Elite,1974,,Muki Betser,Secret Soldier,Sayeret Matkal 262 269,Battalion for Air Assignments (Shaldag) 5101,,,Intelligence,Center,Deep Reconnaissance,,,,,,,,,,,,,,,,,,,,,Muki Betser,
Counterterrorism school,Counterterrorism school,"לוט""ר",,1974,,,,Counterterrorism school,Counterterrorism school,,,Infantry,Center,CT,,,,,,,,,"הכשרה בתחומי לוט""ר, צלפים, קליעה, טג""ח, הסוואה",פעילות מבצעית עם יחידות אחרות,מתקן אדם,"חי""ר",,,,עמוס קוצר,,,,,,
General Staff Visual Intelligence Unit,General Staff Visual Intelligence Unit,"יחידת תצפיות מטכ""לית ית""מ",,1974,,,,General Staff Visual Intelligence Unit,General Staff Visual Intelligence Unit,,,Field Intelligence,General,Visint,,,,,,,המלצת ועדת אגרנט על צורך בחיזוק הפן הויזינטי. ,,,,,,,,,,,,,,,
Golani Anti-Tank Company 1974,Golani Anti-Tank Company 1974,עורב גולני,,1974,1975,,,Golani Anti-Tank Company 1974,Golani Anti-Tank Company 1974,,,Infantry,North,ATM,,,,,,,"לקחי מלחמת יום הכיפורים - מהפיכת הנ""ט",,"לוחמה נגד טנקים ונגד רק""ם טאו","יחידת חיל רגלים מובחרת למשימות התקפיות מורכבות, בט""ש.",,"חי""ר",חטיבת גולני,"פלחה""ן גולני, גדס""ר גולני",,מיקי מוסברג,,,,,,
Oketz Unit  Canine Special Forces 7142,Oketz Unit  Canine Special Forces 7142,עוקץ,,1974,,Yossi Labok,To Think with Six Legs The Story of Yossef Labock Founder of Oketz – IDF Canine Unit,Oketz Unit  Canine Special Forces 7142,Oketz Unit  Canine Special Forces 7142,,,Infantry,Center,Canine,,,,,,,התגברות הטרור,,הפעלה ואימון כלבים למשימות לחימה ייעודיות בכל הגזרות ובמיוחד בשטחים. המטרה המבצעית של יחידת עוקץ היא סיכול טרור ומניעת פגיעה בכוחותינו,,,,,,,,,,,,Yossi Labok,
Paratroopers Anti-Tank Company,Paratroopers Anti-Tank Company,עורב צנחנים,,1974,2002,,,Paratroopers Anti-Tank Company,Paratroopers Anti-Tank Company,,,ATM,Center,ATM,,,,,,,"לקחי מלחמת יום הכיפורים - מהפיכת הנ""ט",,,,,"חי""ר",חטיבת הצנחנים,"גדס""ר צנחנים",,אמנון דותן ,"יואב גוטסמן, אמיר ברעם, נמרוד אלוני, יאיר גולן, אביב כוכבי",,,,,
Unit 669 Airborne Rescue And Evacuation,Unit 669 Airborne Rescue And Evacuation,669,,1974,,,,Unit 669 Airborne Rescue And Evacuation,Unit 669 Airborne Rescue And Evacuation,Command of the Special Air Forces,,Air force,Air Force,SAR,,,,,,,,,,,,,,,,,,,,,,
Unit Alpinistim (Res),Unit Alpinistim (Res),"אלפיניסטים, סיירת ארז, סיירת החרמונים",,1974,,,,Unit Alpinistim (Res),Unit Alpinistim (Res),,,Regional,North,Rough Terrain,,,,,,,"פירוק יחידת אגוז, הקשיים של היחידות האחרות בלוחמה בחרמון.",,לוחמה באיזורים מושלגים,,צפון,אוגדה 36,סיירת אגוז,,,דוד מתג,,,,,,
General Staff Visual Intelligence Unit - Mobile Company,General Staff Visual Intelligence Unit - Mobile Company,"יחידת תצפיות מטכ""לית ניידת",,1976,1980,,,"Sayeret Matkal 262 269,Visual Intelligence Unit 1973",,,,Field Intelligence,General,Visint,,,,,,,,,,,"מטכ""לי",איסוף קרבי,,,,,,,,,,
Battalion for Air Assignments (Shaldag),Battalion for Air Assignments (Shaldag),הגדוד למשימות חיל האוויר,,1977,,,Shaldag,Battalion for Air Assignments (Shaldag),Battalion for Air Assignments (Shaldag),,,Infantry,Center,Deep Reconnaissance,,,,,,,,,,,,,,,,,,,,,,
Combat Engineering Reconnaissance Company 605,Combat Engineering Reconnaissance Company 605,"מחס""ר מחץ 605 ",,1977,,,,Combat Engineering Reconnaissance Company 605,Combat Engineering Reconnaissance Company 605,,,Engineering,North,,,,,,,,,,"סריקת שטח, איסוף מודיעין הנדסי","בט""ש",,הנדסה,,,,,,,,,,
Golani Anti-Tank Company 1977,Golani Anti-Tank Company 1977,עורב גולני,,1977,,,,Golani Anti-Tank Company 1977,Golani Anti-Tank Company 1977,,,Infantry,North,ATM,,,,,,,,,"לוחמה נגד טנקים ונגד רק""ם טאו","יחידת חיל רגלים מובחרת למשימות התקפיות מורכבות, בט""ש.",,,חטיבת גולני,"גדס""ר גולני",,דני הרמן,"רפי מוסברג, מוטי שפס, יואב שדמה, ציון אוטמזגין, גדי אייזנקוט.",,,,,
Golani Engineer Company,Golani Engineer Company,"פלחה""ן גולני סדיר",,1977,,,,Golani Engineer Company,Golani Engineer Company,,,Infantry,North,,,,,,,,,,,,,,,,,,,,,,,
***Nahal Anti-Tank Company (Res),***Nahal Anti-Tank Company (Res),"עורב נח""ל מילואים",,1977,,,,Nahal Anti-Tank Company (Res),Nahal Anti-Tank Company (Res),,,ATM,North,Engineering,,,,,,,,,,,,,,,,,,,,,,
Yaltam Underwater Missions ,Yaltam Underwater Missions ,"ילת""ם יחידה למשימות תת-מימיות",,1980,,,,Defensive Divers 707,,,,Navy,Navy,Technical Diving,,,,,,,"הקמה רשימית אפריל 1980. הכרה בצורך ביחידה מקצועית לפעילות תת מימית מקצועית בעיקר איתור כלי טיס שהופלו ואח""י דקר",,"תיקון של כלי שיט של חיל הים מתחת לפני המים, ריתוך וחיתוך תת-מימי","חבלה וסילוק פצצות תת-מימיות, חילוץ והצלה",,ים,"707, שייטת 13, היחידה המקצועית",,,דני אבינון,,,,,,
Moran,Moran,מורן,,1982,2003,,,Moran,Moran,,,ATM,South,ATGM,,,,,,,,,,,,,,,,,,,,,,
Israeli Police Border Reconnaisance - North,Israeli Police Border Reconnaisance - North,סיירת מגב צפון,,1982,,,,Israeli Police Border Reconnaisance - North,Israeli Police Border Reconnaisance - North,,,Police,North,Reconnaissance,,,,,,,,,,,,,,,,,,,,,,
Sayeret Yael Combat Engineering Reconnaissance,Sayeret Yael Combat Engineering Reconnaissance,סיירת יעל,,1982,,,,Unit 630,Yahalom,,,Engineering,General,Engineering,,,https://news.walla.co.il/item/2627668,,,,לקחי מבצע שלום הגליל,,"כניסה חשאית ופילוס נתיבים בשדות מוקשים וזירות מטענים, פריצת מכשולים, מעבר מכשולי מים, מיקוש והטמנת מטענים, השמדת תשתיות אויב, סיור ואיסוף מודיעין הנדסי","שימוש בחומרי חבלה בפעילות בט""ש",בעיקר צפון,הנדסה,אגד הצליחה של חיל ההנדסה,"יהל""ם",,,,,,,,
Border Patrol Reconnaissance Unit - Central District,Border Patrol Reconnaissance Unit - Central District,סיירת מגב מרכז,,1983,,,,Border Patrol Reconnaissance Unit - Central District,Border Patrol Reconnaissance Unit - Central District,,,Police,Center,Reconnaissance,,,,,,,,,,,,,,,,,,,,,,
Sayeret Givati ,Sayeret Givati ,סיירת גבעתי,,1983,2002,,,Sayeret Givati,Sayeret Givati,,,Infantry,South,Reconnaissance,,,,,,,"לקחי מלחמת לבנון הצורך בחטיבת חי""ר נוספת","הקמת גדס""ר גבעתי",,"אימצה את המורשת של שקד, וכמוה ביקשה להתמחות בפיקוד הדרום התמחות מיוחדת בעזה",דרום,"חי""ר",,,,,"אילן סופר, אייל שליין, עמית ווינר, דן שוורצפוקס, עמוס גולדמן, אסף שביט, אייל אייזנברג, רז שגיא, בועז זלמונביץ, מוני כץ, מני מוזס, אלדד פלד, טל חרמוני, עופר וינטר, חזי נחמה, גור שרייבמן, לירון ארוך, אמיר זיגדון, ירון סימסולו, חנן בוחבוט, מוטי חיים",,,,,
Sayeret Nahal,Sayeret Nahal,"פלס""ר צור בהמשך סיירת נח""ל",,1983,2002,,,Sayeret Nahal,Sayeret Nahal,,,Infantry,Center,Reconnaissance,,,,,,,,,,,,,,,,,,,,,,
Duchiphat Hoopoe Anti-Tank Company 94,Duchiphat Hoopoe Anti-Tank Company 94,"דוכיפת יחידת נ""ט/יחנ""ט 94",,1984,1992,,,Duchiphat Hoopoe Anti-Tank Company 94,Duchiphat Hoopoe Anti-Tank Company 94,,,ATM,Center,ATM,,,,,,,לקחי מלחמת יום הכיפורים,"מרד ביחידה בשל הפעלתה כיחידת בט""ש ולא נ""ט","נ""ט טאו","עם פרוץ האינתיפאדה הראשונה בט""ש",,בסיס ההדרכה של הצנחנים,,גדוד חיל רגלים ממוכן תחת פיקוד חטיבה 401 של חיל השריון,,,"עופר אילות, שרון דוידוביץ'",,,נמוכה,,
Givati Anti-Tank Company ,Givati Anti-Tank Company ,עורב גבעתי,,1984,2001,,,Givati Anti-Tank Company,Givati Anti-Tank Company,,,ATM,South,ATM,,,,,,,,,,,,,,,,,,,,,,
Givati Engineer Company,Givati Engineer Company,"פלחה""ן גבעתי",,1984,2002,,,Givati Engineer Company,Givati Engineer Company,,,Infantry,South,Engineering,,,,,,,,,,,,,,,,,,,,,,
