Name,Notes,Attachments,Predecessor,Successor,Affiliation,Year Established,Year Disbanded ,Branch,Command,Rrole,References,Bibliography Attachment,Bilbiography,Audio-video,תאריך הקמה,מאפיינים מבצעיים,מאפיינים ארגוניים,נסיבות הקמה,נסיבות פירוק,עוצמת קונפליקט,ייעוד עיקרי,ייעוד משני,בסיס,פיקוד,זרוע,הגדרת תפקיד,תנאי קבלה,תקופת הכשרה,הכשרה,טקטיקה,משך השירות,גודל הקמה,"סד""כ ראשוני",גודל בהמשך,"סד""כ בהמשך",נשק וציוד ייחודי,רכב,מלחמות מבצעים,יחידת אם - לניתוח רשתות,יחידות ממשיכות - לניתוח רשתות,יחידות מתחרות,מייסד היחידה עבור ניתוח רשתות ובדיקת השערת הכרימזה,מפקדים בולטים עבור ניתוח רשתות ובדיקת השערת הכרימזה,מקור השראה,טיפוח תדמית תרבות ארגונית,מידת יוקרה תרבות ארגונית,TOC,Individuals Glossary copy
Maritime Demolition Unit,יחידת החבלנים – קיסריה,,Maritime Demolition Unit,Flotilla 13,,1948,1948,Palyam,Navy,Naval,,,,,,,מיליציה,מלחמת העצמאות,נטמעה בשייטת 13,גבוהה,הפעלת סירות נפץ,,קיסריה,,"פלי""ם",מפעילי סירות נפץ,,,,הפעלת סירות טורפדו קטנות,,,12 איש,,,סירות נפץ שנרכשו באיטליה,סירות,,החוליה לחבלה ימית,"השירות הימי, שייטת 13",,יוחאי בן נון,"יגאל וייס,שאול אורן, אברמוב זלמן, ארד שרגא, ברוקמן יצחק, הוכברג צבי, וינטרוב דב, ורדי יעקב, זלינגר חנוך, טובלין זרובבל, סגל שלמה, ריטוב יעקב ושביט אברהם",הקומנדו הימי האיטלקי הפשיסטי המדריך קפריוטי,,,,
Naval Commandos,הקומנדו הימי יחידת המתאבדים של אסקימו,,Naval Commandos,Flotilla 13,,1948,1948,Palyam,Navy,Naval,,,,,מאי,,מיליציה,,,,,,יפו,,השרות הימי,,"יוצאי פיל""ם והצבא הבריטי",,,,,,30 איש,,,,,,השירות הימי,שייטת 13,,אורי ברכמן-שילה,אהרן בן-יוסף,,,,,
Paratroopers 1948,יחידת הצנחנים הראשונה,,Paratroopers 1948,Paratroopers 1948,,1948,1949,Infantry,Haifa,Airborne,,,,,2 בספטמבר,,"חי""ר",מלחמת העצמאות,"המשמעת הרופפת ותאונות האימונים הקטלניות הביאו את המטה הכללי להחלטה כי יש להחליף את המפקד, לנפות את מרבית הקצינים והחיילים ולבנות יחידה חדשה",גבוהה,הכשרת צנחנים למשימות מעבר לקווי האויב.,,"אחוזה, חיפה",,צנחנים,,"מתנדבים בעלי רקע מגוון, רמה נמוכה.",,קורס צניחה,היחידה לא הפכה מבצעית,,שלוש פלוגות לוחמות ופלוגת הדרכה,לקראת סוף שנת 1948 היו ביחידה 219 חיילים מהם 28 קצינים ו- 171 בעלי דרגות אחרות ,,,,,,"צנחני הישוב, יוצאי גדוד 51, פלמ""ח",צנחנים,,יואל פלגי,"קרל כהנא, יצחק ספקטור, חיים גורי, דן אבני, יוסף אגסי, דב אל-עמי, שמשון בר-נוי (נוימן), חיים גורי (גורפינקל), י. גלר, יצחק גרינולד, ראובן דרוסקין, יעקב וידיסלבסקי, ב. כהן, קרל כהנא, ארתור לנדמן, י. קופרשטיך, ושמואל קריינר.",,,נמוכה,,
Reconnaisance Platoon Golani,סיירת גולני,,Reconnaisance Platoon Golani,Reconnaisance Platoon Golani,,1948,,Infantry,North,Reconnaissance,,,,,,,,,,,,יחידת ההתערבות של פיקוד צפון,,צפון,חטיבת גולני,,,20 חודשים עד 2002 מאז 16 חודשים,,"קורס לוט""ר, מו""ס, צניחה, אימוני קרב מגע, ניווטים רבים, ולוחמת חי""ר",,,,,,,,,פליטי חטיבת אלכסנדרוני,101,,,"צבי עופר, חיים ארדיטי",,,,,
Reconnaissance Company 9th Battalion,פלוגת סיור גדוד הפשיטה הממוכן 9,,Reconnaissance Company 9th Battalion,Reconnaissance Company 9th Battalion,,1948,1948,Palmach,South,,,,,,28 במרץ,,"חיר""ם",מלחמת השחרור,"הקמת צה""ל",גבוהה,"הפעלת זחלמ""ים עם תותחי 20 מ""מ כנגד משוריינים מצריים",,שטח דפו ליד 'יבוץ רוחמה,,,,,,,,,2 יחידות,270 לוחמים,,,,"ג'יפים, זחלים",,"פלמ""ח",חטיבה 7 חיל השריון,,ישראל כרמי,,,,,,
Samson's Foxes Givati,"שועלי שמשון - פלוגה ב', גדוד 54, גבעתי",,Samson's Foxes Givati,Samson's Foxes Givati,,1948,1956,Infantry,South,Deep Reconnaissance,,,,,,,"חיר""ם",מלחמת השחרור בעקבות התרשמות מהישגי חיות הנגב,,גבוהה,"חי""ר ממוכן",,,דרום,"הגנה, צה""ל",,,,,,,,,,,,"ג'יפים, קומנדקר, משאית, משוריינים",,חיל השדה,,,"שמעון אבידן, אריה שפק",,,שועלי שמשון,,,
,יחידה 805 (מודיעין 18) יחידת הסוכנים,,,,,1949,,Intelligence,,,,,,,,,,הקמת חיל המודיעין,,,לשכה לשירותים אסטרטגיים שתפעל במשימות של ריגול וחבלה,,משמר הים,,מודיעין,,,,,,,,,,,,,,מסתערבים,"יחידה 131, יחידה 132",,,אברהם דר,,,,,
Intelligence Unit 154,"יחידה 154 קת""מ מודיעין 10",,Intelligence Unit 154,Intelligence Unit 154,,1949,,Intelligence,AMAN,HUMINT,,,,,,מודיעין/לוחמה זעירה,נמוכה,,,גבוהה,מודיעין,,,פרישה ארצית ובמדינות יעד,מודיעין,,,,,"ליקוט מידע על צבאות ערב השכנים, נתוני שטח וידיעות על תשתית",,,,,,יומינט,,,"ש""י, שירות מודיעין 1","סיירת מטכ""ל, 504",,דוד קרון,"אברהם ארנן, אברהם כהן, יעקב (ז'ק) צביה, רחביה ורדי, חיים שדמי",,,נמוכה,,
Intelligence Unit 504,יחידה 504,,Intelligence Unit 504,Intelligence Unit 504,,1949,,Intelligence,AMAN,Operating agents,,,,,,,,,,,איסוף מידע מודיעיני באמצעות הפעלת סוכנים בקרבת גבולותיה של ישראל; חקירת שבויים שנופלים בשבי ישראל; מבצעים מיוחדים,,,פרישה ארצית ובמדינות יעד,מודיעין,"קת""ם, קצין לתפקידים מיוחדים",,,,"קת""מים מתלווים לפישטות של יחידות עלית מעבר לגבול",,,,,,,,,154,,"מוסד, שב""כ",,"יהודה דנגורי, יהושע בר תקווה",,,,,
Itelligence 132,יחידה 132,,,,,1949,,Intelligence,AMAN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Airborne Battalion 890 1950,"גדוד 890 במסגרת בה""ד 8 ביה""ס לצניחה",,Airborne Battalion 890 1950,Airborne Battalion 890 1950,,1950,,Paratroopers,Center,,,,,,,,,כישלון יחידת הצנחנים הקודמת,,,הכשרת צנחנים,"לא הוגדר, עסקו בעיקר בבט""ש באיזור ירושלים, בהמשך פעולות תגמול.",תל-נוף,,,,"קשיים בגיוס. קיבוצניקים ומשבניקים פנו לנח""ל. עולים חדשים וילידי הארץ הותיקים הגיעו לגולני גבעתי ושריון ו""השארית"" הגיעה לצנחנים",,צניחה,,,פלוגה מבצעית אחת,72,תוך שנה התווספו שתי פלוגות נוספות,,,,,,צנחנים,,יהודה הררי,"מסרל טוביאס, יצחק ולקר, ירחמיאל אבנון, קלמן מגן, יחיאל לוין, מרדכי ילישביץ, ברוך פרומקין, שבתאי אילון (אילוז), אברהם תמיר (סיומקין), גדעון ריבלין .",,,,,
Intelligence 13 Wing,ענף 13,,Intelligence 13 Wing,Intelligence 13 Wing,AMAN,1950,1950,Intelligence,AMAN,Special Operations Command,,,,,,,,"ענף מבצעים שמאחד את היחידות לפעולות מיוחדות, אמור היה לכלול את שייטת 13 וטייסת 13 שלא הוקמה",,,,לחבל בהכנות מדינות ערב למלחמה ובכוננותן המלחמתית בימי שלום ומלחמה,,,,,,,,,,,,,,,,,,,,חיים יערי ולנדר,,"הוקם על פי המודל של ה-SOE - מדור לחתרנות מבצעית ללוחמה זעירה בעומק ארצות האויב, ומדור ללוחמה פסיכולוגית/תעמולה שחורה",,,,
Shayetet 13,שייטת 13,,"Port Company,Palyam Sea Company,Divers,The 4th Battalion",,,1950,,Navy,Navy,Naval Commando,,,,,,לוחמה זעירה,,,,,,,עתלית,,ים,,,,,,,,,,,,,,,,,,,,,,35,
Unit 30,יחידה 30,Moshe Dayan,Unit 30,Sayeret Shaked 424,,1951,1952,Regional,South,Preventive,,,,,,,נמוכה,הסתננויות,,נמוכה,"הגנה דינאמית, המנעה","מיפוי, סיור, פעולות תגמול ",,דרום,,,גיוס אקראי,4 חודשים,,"מסעות ארוכים אימוני כידון, קורסים בחבלה, בצליפה ובנהיגה, קורס צניחה",,2 מחלקות,30 לוחמים,,,"סטן, ברן ",,,חטיבת הנגב,שקד,,"אברהם לוין, חיים דים","בני ענבר, אהרון קמרה",,,נמוכה,20,Moshe Dayan
Intelligence 131,יחידה 131,,,Intelligence 188,AMAN,1953,,Intelligence,AMAN,HUMINT,,,,,,,,,פרשת לבון,,"פעילות בעת מלחמה בלב ארצות אויב, לזרוע בהן בהלה, לפגוע ברצון הלחימה של האוכלוסייה על ידי ביצוע פיגועים, הפצת תעמולה שחורה, ושיטות אחרות של לוחמה פסיכולוגית שנוסו במלחמת העולם על-ידי ה-SOE",ליחידה לא הוגדר תפקיד בתקופות שבין מלחמות,"בסיס עיקרי בקריה, בנוסף בית ספר ומחלקת קשר עם הסוכנים ",,"מודיעין כפיפות ישירה לראש ממ""ן",,קשיים בגיוס.  החלטה לגייס הרפתקנים ואנשים עם עבר פלילי בכלל זה אברי אלעד ומרדכי קידר גיוס של יהודים מארצות ערב,,,,,,,,,,,,,,,,,,,,,
Unit 101,יחידה 101,"Arik Sharon, Meir Har Zion",Unit 101,Airborne   (890),,1953,1954,Infantry,Center,Retaliations,,,,,אוגוסט,,מיון/הכשרה,הסתננויות,,נמוכה,פעולות תגמול,,,,,,,,,,,,,,,,,,החטיבה הירושלמית,צנחנים,,אריאל שרון,,,גבוהה,גבוהה,20,"Meir Har Zion, Arik Sharon"
135 Armored Reconnaissance Battalion,"פלס""ר 7",,9 Armored Brigade,Palsar 7 Armored Reconnaissance Company,,1954,1956,Armor,North,Armor Reconnaissance,,,,,,,,,,גבוהה,"פתיחת תאי שטח לחטיבת השיריון, איסוף מודיעין, איתור איומים וביצוע משימות מיוחדות- רגליות ורכובות","הכוונת מסק""רים וכוחות, תקיפת יעדים ועוד",,"מטכ""לי",שריון,,"גיוס לשריון, פרופיל וקב""א גבוהים, גיבוש",14 חודשים,,"טירונות חי""ר עם אגוז, אימון מתקדם, הכשרה ביחידה לוחמה בשטחים שונים, ניווט, הסוואה, איסוף מודיעין קרבי, קורס סיור ייעודי ",,,,,,"חי""ר, אמצעי תצפית וסיור","ג'יפים - חמישיות, האמרים","במלחמת לבנון השניה היחידה הכווינה מסק""רים ולא טנקים","פלס""ר 7","פלס""ר 401, 188",,,,,,בינונית,,
Airborne  Reconnaissance Platoon 890,סיירת הצנחנים פלוגת הסיור של גדוד 890,,Airborne  Reconnaisance (890),Airborne  Reconnaisance (890),,1954,1955,Paratroopers,Center,Retaliations,,,,,,,,,,,,,,,,,,,,,,"3 מחלקות ובכל מחלקה 4 חוליות, בכל חוליה 4 לוחמים",,,,,,,,,,מאיר הר ציון,,,,,20,
Airborne Reconnaissance Company 890,סיירת הצנחנים הראשונה מחלקת הסיור של גדוד 890 ,,Airborne   (890),Airborne   (890),,1954,1954,Paratroopers,Center,Airborne,,,,,,,,,,,,,תל-נוף,,,,,,,,,מחלקת סיור על בסיס לוחמי 101,,,,,,,,,,מאיר הר ציון,,"מיכה בן ארי קפוסטה, אהרון (ארול) אשל, מאיר יעקבי, יאיר תל צור, שמעון כהנר (קצ'ה).",,,,
Nahal Reconnaisance Platoon 150,"סיירת נח""ל ערבה 150",,Unit 30,Sayeret Shaked 424,,1954,1954,Regional,South,Preventive,,,,,,,,הרצח במעלה העקרבים,,נמוכה,"ליווי שיירות בנגב, סיורים בנגב מאבק במסתננים",,,דרום,,,,,,,,חמש מחלקות,90 לוחמים,,,,"עשרים ג'יפים, עשרה קומנדקרים, מוס קל",,,נטמעה ב-890,,"יעקב ארנון, צבי לבנון",,,,,20,
Intelligence 188,"יחידה 188 אמ""ן",,Intelligence 131,Mossad,AMAN,1955,,Intelligence,AMAN,Humint,"Bergman, Ronen. 2018. Rise and Kill First: The Secret History of Israel’s Targeted Assassinations. Random House Publishing Group. ",,https://paperpile.com/app/p/b3ce1447-c4e4-07cd-acf7-7250a1129fd8,,,,,,איחוד עם המוסד יחידת קיסריה,,היומינט,,,ריגול,מודיעין,,,,,,,,,,,יומינט,,,,קיסריה,,,"וסק'ה יריב (שכונה ""דן""), סגנו גדליה
חלף ושמעון סומך (""סמעאן"")",,,,22,
Sayeret Shaked 424,סיירת שקד 424,,Sayeret Shaked 424,Sayeret Shaked 424,,1955,1979,Regional,South,Preventive,,,,,מאי,,,"הסתננויות, בעיקר בגיזרה הדרום-מערבית של פיקוד הדרום",פירוק הסיירות הפיקודיות,נמוכה,המנעה,החל משנת 1970 גדוד קומנדו תחת פיקודו של דני וולף רהב,,דרום,,,,,,"שילוב בין גישות מסורתיות לגישוש לבין הפעלת אמצעים מתקדמים: דגן - מקלע המופעל באמצעות קרן פוטו אלקטרית, קשת - מכ""ם קרקעי מגלה חדירות.",,,,,,,"ג'יפים, מסוקים",,"יחידה 30, כוח משימה קטן שהוקם בפיקוד המרכז, סיירת נח""ל ערבה 150",הסיירות הפיקודיות,,צבי עופר,"נדב נוימן, עבד אל-מאג'יד, דב סטרליץ, דני וולף רהב",,,,20,
7 Armored Reconnaissance Company,"פלס""ר 7",,Palsar 7 Armored Reconnaissance Company,Palsar 7 Armored Reconnaissance Company,,1956,1973,Armor,North,Armor Reconnaissance,,Palsar 7 1967.pdf (https://dl.airtable.com/kKbgkzHPRvOr1yAYqhvM_Palsar%207%201967.pdf),,,,,,,,גבוהה,"פתיחת תאי שטח לחטיבת השיריון, איסוף מודיעין, איתור איומים וביצוע משימות מיוחדות- רגליות ורכובות","הכוונת מסק""רים וכוחות, תקיפת יעדים ועוד",,"מטכ""לי",שריון,,"גיוס לשריון, פרופיל וקב""א גבוהים, גיבוש",14 חודשים,,"טירונות חי""ר עם אגוז, אימון מתקדם, הכשרה ביחידה לוחמה בשטחים שונים, ניווט, הסוואה, איסוף מודיעין קרבי, קורס סיור ייעודי ",,,,,,"חי""ר, אמצעי תצפית וסיור","ג'יפים - חמישיות, האמרים","במלחמת לבנון השניה היחידה הכווינה מסק""רים ולא טנקים","פלס""ר 7","פלס""ר 401, 188",,,,,,בינונית,,
332 Battalion,מרגמות מוצנחות 322,,332 Battalion,332 Battalion,,1956,1956,Paratroopers,Center,Airborne Artillery,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Airborne  Reconnaisance 5173,סיירת צנחנים 202 פלוגת סיור חטיבתית 5173,,Airborne  Reconnaisance 5173,Airborne  Reconnaisance 5173,,1956,1957,Paratroopers,Center,Reconnaissance,,,,,,,,,,,פעולות תגמול,,החל מ-1957 תל-נוף,מרכז,"חי""ר",,,,,,,,,,,,,,"101, 890","סיירת מטכ""ל, סיירת צנחנים",,"אריאל שרון, מאיר הר-ציון","מאיר הרציון, מיכה בן-ארי",101,,,,
Sayeret Egoz 483 Reconnaissance 1,סיירת אגוז 483,,Sayeret Egoz 483 Reconnaissance 1,Sayeret Egoz 483 Reconnaissance 1,,1956,1957,Regional,North,Commando,,,,,,,,לקראת מבצע קדש יחידה דרוזית לפעילות בעורף האויב הדרוזי,התקלות במארב של משמר הגבול באום-אל פאחם,,פעילות מיעוטים בעורף הסורי במקרה שהם יצטרפו למלחמה,"בט""ש בגיזרת ג'נין",מחנה בן עמי בהמשך משטרת כרכור,צפון,"חי""ר",,קבוצת חיילים דרוזים,אימון הקמה וגיבוש שלושה חודשים,"קרב מגע, סיור, טפוגרפיה, כלי נשק שונים",,,,25 לוחמים,,,,,,,"סיירת אגוז, יחידות מיעוטים",,אריה גורדי,נפתלי אלקין,,,,,
Unit 755,"נ""ט 755",,Unit 755,Unit 755,,1956,1970,Artillery,,ATM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Airborne  Reconnaissance 73,,,Airborne  Reconnaisance 73,Airborne  Reconnaisance 73,,1957,,Paratroopers,Tel Nof,Reconnaissance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sayeret Matkal 262 269,"סיירת מטכ""ל",,,Sayeret Matkal 262 269,"Special Operations,AMAN",1957,,Intelligence,AMAN,SIGINT,"Kfir, Ilan; Dor, Danny. Barak. Barak Wars of My Life. Or Yehudah: Kineret; Zemorah-Bitan.",,,,,,,,,,,,,,"אמ""ן",,,,,,,,,,,,מסוקים,,"154, סיירת צנחנים",שלדג,"חרוב, שקד","אברהם ארנן, מאיר הר ציון",מיכה בן-ארי,SAS,,,"35, 22",
Defensive Divers 707,צוללים הגנתיים 707 בהמשך יחידה לחבלה ימית,,Flotilla 13,"Flotilla 13,Yaltam Underwater Missions",,1962,1974,Navy,Navy,Defensive Diving,,,,,,,,הסרת נטל הצלילה ההגנתית מהשייטת,בהנהגת שאול זיו היחידה לקחה על עצמה תפקידים התקפיים הוגדרה כיחידת פשיטה. ולא הייתה עוד הצדקה להפרדה משייטת 13,נמוכה,עבודות תת מימיות בעלות אופן טכני,"החל משנת 1965  פעילות בט""ש ביחד עם סיירת שקד ועם גולני, תחרות עם שייטת 13",,,ים,,חיילים שלא השלימו מסלול בשייטת 13 ולאחר מכן גיוס ישיר,,,,,יחידה קטנה בת שבעה עשר לוחמים ששילבה חיילים סדירים ואנשי קבע,,,,,,,"יחידת האמודאים, מספנות חיל הים ומדור בקרת נזקים","שייטת 13 ילת""ם",, אדמונד וילהלם ברילנט,"שאול זיו, נדב קלע, דב בר, יוסי דר, איתמר שחם",,הניסיון להעביר לוחמי שייטת ליחידה נתפש כפחיתות כבוד,,,
Egoz,אגוז,,,,,1963,,Regional,,,,,,,,,,,,,מארבים באזורי חדירת מחבלים,,,,,,,,,,,,,,,,,,,,,,,,,,,
Paratroopers Engineer Company,"פלחה""ן צנחנים",,Paratroopers Engineer Company,Paratroopers Engineer Company,,1963,2002,Infantry,Center,Engineering,,,,,,,,,,,"פשיטות חבלה בעורף האויב וכן כל מבצע הנדסי רכוב, רגלי או מוצנח.","בט""ש",,,"חי""ר",,,,,,,,,,,,,,מחלקת חבלה מסגרת חטיבת המילואים 80,"פלחה""ן במסגרת הגדס""ר",,מייק מיכאלי קיש,,,,,,
Sayeret 525 Reconnaisance,סיירת 525,,Sayeret Shaked 424,Sayeret Shaked 424,,1963,1964,Regional,South,Preventive,,,,,,,,"הסתננויות, בערבה ובהר הנגב ",נטמעה בשקד,נמוכה,המנעה,,,דרום,,,,,,"מרדפים, מיקוש",,,,,,,ג'יפים,,יחידה 300,סיירת שקד,,אהרון גיל,"סאלח אל-הייב, אמציה חן פצי",,,,,
Sayeret Egoz 483,סיירת אגוז 483,,Sayeret Egoz 483,Sayeret Egoz 483,,1963,1974,Regional,North,Preventive,,,,,,,,החלטת הפיסגה הערבית על הטיית מי הירדן אבטחת המוביל הארצי,פירוק הסיירות הפיקודיות,נמוכה,"כוח סיור להיערכות הגנתית, משימות ביטחון שוטף עיקוב וגישוש מניעת חדירות של חוליות פתח מגבול הצפון.",יחידת עלית שתהיה זמינה באופן קבוע ובעלת היכרות מעמיקה עם הגיזרה,מחנה שנלר – הוילה בנצרת,צפון,"חי""ר",,יחידה התנדבותית,טירונות בגולני קורס סיור,"הלוחמים עברו טירונות בגולני ועברו ליחידה לקורס סיור עם תום הקורס קיבלו הלוחמים סמל 'כנפי אגוז'. לאחר מכן הם חזרו לגולני לקורס מ""כים. הם עברו גם קורס צניחה. רבים נשלחו לקורסים מקצועיים נהיגה, חובשים, חבלנים מד""סים",,,,,,,,,,,,,חיים סלע,אבי תלם,,,,,
Golani Engineering company,"פלחה""ן גולני מילואים",,Golani Engineering company,Golani Engineering company,,1965,2001,Infantry,North,Engineering,,,,,,,,,,,"לחימת חי""ר תוך שילוב כשירויות הנדסה וחבלה: התמודדות עם מוקשים ומטענים, פילוס נתיבים והקמת גישור וביצורים, מילכוד מתקני אוייב, פיצוץ, פריצה והשמדה.","במלחמת יום הכיפורים שימשה הפלחה""ן כסיירת",,,,,ריכוז של 50 חיילים משלושת גדודי החטיבה במסגרת גדוד 601 של הנדסה קרבית,,,"בעיקר מארבים, המנעה",,פלוגה,23 לוחמים,בשיא גדוד מורחב של חמש פלוגות,,ציוד ייחודי למארבים אמצעים לראיית לילה שפותחו עם רפאל,ג'יפים וקומנדקרים ,"ששת הימים, התשה, יום כיפור","סיירת אגוז, גולני",סיירת ארז - אלפיניסטים - אגוז,,שייקה ארז,,,,,,
114 Squadron Night Leaders Squadron,טייסת מובילי הלילה,,114 Squadron Night Leaders Squadron,114 Squadron Night Leaders Squadron,,1966,,Air force,Air Force,Landing of forces,,,,,ינואר,,,,,גבוהה נמוכה,"הנחתת כוחות מעבר לקווי האויב, הובלת ציוד לחימה וחילוץ נפגעים",,,,,,,,,,,,,,,,מסוקי סופר פרלון-צרעה לאחר מכן מסוקי יסעור,,,,,,,,,,22,
Bat (ATALEF) Unit,יחידת עטלף,,Sayeret Shaked 424,Bat (ATALEF) Unit,,1966,1966,Regional,South,Optical observations,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Duchiphat Hoopoe Reconnaisance,סיירת דוכיפת,,Duchiphat Hoopoe Reconnaisance,Duchiphat Hoopoe Reconnaisance,,1966,1969,Paratroopers,Center,Airborne Armor,,,,,,,בינונית,חשיבה מוטעית כי ניתן יהיה להוביל שריוניות aml 90 באמצעות מסוקים ולסייע לצנחנים,כישלון בהפעלת השריוניות,גבוהה,כוח נייד ובעל עבירות גבוהה סיוע לצנחנים בשדה הקרב,"אחרי המלחמה בט""ש ברצועת עזה ובבקעת הירדן",,,"חי""ר שריון קל",,,,,"הפעלת 14 שריונית aml 90 על-ידי אנשי חי""ר צוות שריונית כלל 3 אנשים. צנחנים שעברו קורס מרוכז למקצועות השריון - כולל מפקדי שריוניות - בבית הספר לשריון בג'וליס",,פלוגה,,,,,,"ששת הימים, כראמה",צנחנים,,,אהוד שני,"יאיר רפאלי, עדי ליבנה, יורם כפרי, גידי בן-יוסף, אמנון ליפקין-שחק",,"הניסיון להעביר לוחמי חי""ר ללוחמת שריון נתפש כפחיתות כבוד",נמוכה,,
Sayeret Haruv 484,סיירת חרוב 484,,Sayeret Haruv 484,Sayeret Haruv 484,,1966,1974,Regional,Center,Preventive,,,,,29 ביולי,,,הוקמה כמחלקת סיור ביחידת המודיעין של חטיבת הצנחנים הסדירה 35,,נמוכה,"המנעה בט""ש","לוט""ר",,מרכז,"חי""ר",,,,,"סגירה על החודרים באמצעות גששים כל גילוי של חדירה היו אנשי הסיירת סוגרים על המחבלים בעזרת מסוקים וגשש. הם היו עולים על עקבות המסתננים, מחשבים את נתיב החדירה וקצב ההתקדמות, ואז נוחתים בנקודה מסוימת ומציבים מארב. במקרים אחרים היו מגלים איכן הסתיימו העקבות ומסתערים לעבר היעד.",,,,,,,,,צנחנים,,,חזי יחזקאל שלום,,,,,,
Druze Reconnaissance Unit 244,סיירת שחר 244,,Druze Reconnaissance Unit 244,Druze Reconnaissance Unit 244,,1967,,Infantry,North,Reconnaissance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,הכשרת הכורדים,,,,,1968,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ATM Recon Unit 70,"יחידת סיור נ""ט מס' 70",,ATM Recon Unit 70,ATM Recon Unit 70,,1968,,Infantry,,,,,,,,,,,,גבוהה,,,,,צנחנים,,מילואים,,,,,,,,,טילי טאו,"רק""מ יעודי (רב""י ולאחר מכן רא""ם)",מלחמת יום כיפור מלחמת לבנון,דוכיפת,פלוגות העורב,,גד נגבי,,,,,,
Polar Bear Unit 88,דב לבן בהמשך גדוד 88 בחטיבה 274,,Polar Bear Unit 88,Polar Bear Unit 88,,1968,1974,Armor,South,Armor  Commando,,,,,,,,טנקי שלל מלחמת ששת הימים,,,הפעלת טנקי הטירן הסובייטיים שנלקחו שלל במלחמת ששת הימים טנקים קלים שניתן היה להנחית אותם מרחפות ולהסוות אותם כטנקים מצריים,,,,שריון,,,,,,,,,,,,טנק טירן,מלחמת ההתשה מלחמת יום הכיפורים,"פלס""ר 7 היחידה השתייכה לחטיבה 8",,,יוסלה יודביץ,שלמה באום,,,,,
Reconnaisance Anti-Tank 582 80,"גדוד סיור ונ""ט 582 של חטיבת המילואים 80",,Reconnaisance Anti-Tank 582 80,Reconnaisance Anti-Tank 582 80,,1968,1972,Paratroopers,Center,Reconnaissance Battalion,,,,,,,,דוידי חיפש דרכים לצקת תוכן במושג הסיירות,הצבא לא תמך בהקמה ולא ראה צורך בקיום היחידה,גבוהה,"הפעלת משולבת של תול""רים, חה""ן, ויחידת הסיור - מעין גדס""ר במתכונת ראשונית ","בט""ש",,,צנחנים,,מילואים,,,לא עוצבה לגמרי. היעד של מקימי הגדוד היה לפעול בעומק שטח האויב בעת מלחמה,,,,,,"תול""רים","נגמ""שים, ג'יפים",תקופת מלחמת ההתשה,חטיבת הצנחנים,פלוגות העורב,,מיכה בן-ארי קופסטה,,"עמי-יעל אקסלרוד, אמיר קרן, נתן שורני",,,,
Sayeret 401 Armored Reconnaissance Company 1968,"פלס""ר 401",,Sayeret 401 Armored Reconnaissance Company 1968,Sayeret 401 Armored Reconnaissance Company 1968,,1968,1972,Armor,South,Armor Reconnaissance,,,,,,,,מלחמת ששת הימים,,,,,,דרום תעלת סואץ,שריון,,,,,,,,,,,,,מלחמת ההתשה,,,,,,,,,,
Shaked Pseudocerastes Shfifon,שפיפון,,Sayeret Shaked 424,Sayeret Shaked 424,,1968,1969,Regional,South,Preventive,,,,,,,,גישה התקפית כנגד פעולות מחבלים בדרום הערבה,,נמוכה,המנעה ומכות מנע תגובה לפעילות מחבלים ומיקוש בתוך שטח ישראל,פעולות תגמול והרתעה,אילת-ערבה,דרום,"חי""ר",,לוחמים ותיקים בשקד,,,"ניווטי יום ולילה, הכשרה אצל שייטת 13, פעילות ממסוקים",,מחלקה,16 לוחמים,,,,ארבעה ג'יפים,,שקד,,,בנימין בן אליעזר,אמציה חן פצי,,,,,
Special Operations,מבצעים מיוחדים,,Sayeret Matkal 262 269,,AMAN,1969,,Intelligence,AMAN,,"Margalit, Dan; Bergman, and Ronen. 2011. The Pit. Or Yehudah: Kineret : Zemorah-Bitan.",,https://paperpile.com/app/p/ef663d45-0d5c-0144-b83d-e2d597a37e53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
118 Squadron Nocturnal Birds of Prey Squadron,טייסת דורסי הלילה,,118 Squadron Nocturnal Birds of Prey Squadron,118 Squadron Nocturnal Birds of Prey Squadron,,1970,,Air force,Air Force,Landing of forces,,,,,אוגוסט,,,קליטת מסוקי יסעור,,גבוהה ונמוכה,"תובלת סער, חילוץ נפגעים, פינויים מקווי החזית ובמבצעים משולבים",הטסת לוחמי יחידות עלית למבצעים בעומק שטח האויב,,,אויר,,,,,הפעלת מסוקי יסוער,,,,,,,מסוקי יסעור,,מובילי הלילה,,,,,,,,,
